id,gender,age,country,education_level,social_media_platform,avg_daily_usage_hours,academic_impact,bedtime,wake_time,mental_health_score,relationship_status,social_media_conflicts,addiction
ID_80,P,21,Maldives,S2,Instagram,4.2,No,20:02,03:50,8,berpasangan,2,No
ID_52,P,23,Bahamas,S2,LinkedIn,2.8,No,23:25,06:25,8,berpasangan,1,No
ID_486,female,21,Denmark,S1,Twitter,4.6,No,20:32,03:50,7,berpasangan,2,No
ID_203,perempuan,19,India,S1,WhatsApp,7.2,Yes,20:00,01:36,5,berpasangan,4,Yes
ID_317,laki-laki,21,Denmark,S2,Facebook,2.8,No,20:02,05:02,8,berpasangan,2,No
ID_556,female,20,France,S1,Instagram,3.8,No,23:16,07:28,7,berpasangan,2,No
ID_652,male,22,Afghanistan,S2,LinkedIn,2.9,No,21:40,04:40,7,hubungan rumit,2,No
ID_492,P,23,Chile,S2,LinkedIn,2.7,No,20:31,03:37,8,hubungan rumit,1,No
ID_85,perempuan,18,Syria,SMA,Instagram,5.6,Yes,23:43,05:07,5,lajang,4,Yes
ID_542,male,21,Maldives,S2,TikTok,4.6,Yes,23:25,03:43,6,berpasangan,4,Yes
ID_171,perempuan,23,Spain,S2,Facebook,6.4,Yes,21:24,03:36,5,lajang,4,Yes
ID_574,perempuan,20,Spain,S1,TikTok,5.5,Yes,21:32,03:20,6,berpasangan,2,Yes
ID_319,male,21,Malaysia,S2,WhatsApp,6.1,Yes,23:14,05:26,6,lajang,3,Yes
ID_39,female,19,Netherlands,S1,Instagram,3.5,No,20:31,05:01,8,lajang,2,No
ID_448,P,20,Australia,S1,Instagram,4.5,No,22:43,06:13,8,lajang,2,No
ID_681,laki-laki,22,Turkey,S2,TikTok,4.8,Yes,20:03,03:27,6,lajang,3,Yes
ID_654,laki-laki,19,Bangladesh,S1,TikTok,4.9,Yes,21:36,04:18,5,lajang,4,Yes
ID_227,perempuan,20,Ghana,S1,Snapchat,4.6,Yes,23:35,05:17,6,berpasangan,3,Yes
ID_195,laki-laki,21,India,S2,WhatsApp,7.5,Yes,22:53,03:41,5,berpasangan,4,Yes
ID_630,L,21,Finland,S1,Instagram,4.3,No,20:52,04:22,7,berpasangan,2,No
ID_75,female,19,China,S1,WeChat,5.7,Yes,22:23,05:05,6,berpasangan,3,Yes
ID_124,L,21,Canada,S2,Instagram,5.3,Yes,23:42,06:36,6,lajang,3,Yes
ID_489,P,21,Maldives,S2,Instagram,3.4,No,20:20,04:56,8,berpasangan,2,No
ID_381,P,21,Spain,S1,TikTok,6.4,Yes,21:10,03:22,5,lajang,4,Yes
ID_431,female,20,Russia,S1,Instagram,6.7,Yes,22:29,04:29,5,lajang,4,Yes
ID_130,female,19,Spain,S1,Instagram,5.2,Yes,22:22,05:10,6,lajang,3,Yes
ID_230,P,19,Pakistan,S1,Instagram,5.4,Yes,23:29,05:41,5,berpasangan,4,Yes
ID_349,female,20,Spain,S1,TikTok,5.1,Yes,22:59,05:41,6,lajang,3,Yes
ID_418,male,21,UK,S2,Facebook,5.4,Yes,22:55,05:25,6,berpasangan,3,Yes
ID_512,male,20,UK,S1,Facebook,6.4,Yes,21:17,03:29,5,lajang,4,Yes
ID_535,laki-laki,21,UK,S2,Facebook,4.6,Yes,21:19,04:19,6,berpasangan,3,Yes
ID_569,laki-laki,18,Belgium,SMA,TikTok,5.3,Yes,20:57,02:27,5,lajang,4,Yes
ID_214,female,19,Bangladesh,S1,Instagram,5.3,Yes,20:21,02:27,5,lajang,3,Yes
ID_190,laki-laki,23,Denmark,S2,Twitter,3.8,No,20:55,04:43,8,berpasangan,2,No
ID_408,male,24,France,S2,Facebook,4.8,No,21:41,04:47,7,berpasangan,2,No
ID_73,male,22,Denmark,S2,Facebook,2.7,No,23:18,08:24,8,berpasangan,2,No
ID_132,P,20,France,S1,Instagram,4.2,No,21:57,05:45,7,berpasangan,2,No
ID_561,L,22,Russia,S2,VKontakte,4.5,No,21:01,04:25,7,berpasangan,2,No
ID_71,laki-laki,21,Denmark,S2,Facebook,2.4,No,23:41,09:05,8,berpasangan,2,No
ID_566,perempuan,22,Bahrain,S2,LinkedIn,2.8,No,21:08,04:14,8,hubungan rumit,1,No
ID_482,perempuan,19,Spain,S1,Instagram,4.4,Yes,23:27,06:57,6,lajang,3,Yes
ID_444,male,19,Sri Lanka,S1,TikTok,5.3,Yes,22:15,03:33,6,lajang,3,Yes
ID_385,perempuan,20,China,S1,TikTok,4.2,Yes,20:54,02:54,6,hubungan rumit,3,Yes
ID_642,L,22,India,S2,Facebook,4.4,No,20:41,05:29,7,berpasangan,2,No
ID_500,female,21,Maldives,S2,Instagram,4.6,No,22:23,05:47,8,berpasangan,2,No
